Team,Season,State,Total_KM_Travelled,Wins,Games_Played,Win_Pct
Gold Coast,2017,QLD,31002,6,22,27.27
Greater Western Sydney,2017,NSW,25322,15,25,60.0
Hawthorn,2017,VIC,12172,10,22,45.45
Melbourne,2017,VIC,8882,12,22,54.55
North Melbourne,2017,VIC,13074,6,22,27.27
Port Adelaide,2017,SA,33134,14,22,63.64
Richmond,2017,VIC,15050,18,25,72.0
St Kilda,2017,VIC,15818,11,22,50.0
Sydney,2017,NSW,21870,15,24,62.5
West Coast,2017,WA,62782,12,23,52.17
Western Bulldogs,2017,VIC,17434,11,22,50.0
Adelaide,2018,SA,20902,12,22,54.55
Brisbane Lions,2018,QLD,31918,5,22,22.73
Carlton,2018,VIC,14938,2,22,9.09
Collingwood,2018,VIC,19056,17,26,65.38
Essendon,2018,VIC,19056,12,22,54.55
Fremantle,2018,WA,49448,8,22,36.36
Geelong,2018,VIC,13130,13,23,56.52
Gold Coast,2018,QLD,30148,4,22,18.18
Greater Western Sydney,2018,NSW,23494,14,24,58.33
Hawthorn,2018,VIC,11044,15,24,62.5
Melbourne,2018,VIC,19130,16,25,64.0
North Melbourne,2018,VIC,15706,12,22,54.55
Port Adelaide,2018,SA,34410,12,22,54.55
Richmond,2018,VIC,12172,19,24,79.17
St Kilda,2018,VIC,17326,4,22,18.18
Sydney,2018,NSW,19584,14,23,60.87
West Coast,2018,WA,56696,19,25,76.0
Western Bulldogs,2018,VIC,14438,8,22,36.36
Adelaide,2019,SA,24504,10,22,45.45
Brisbane Lions,2019,QLD,31870,16,24,66.67
Carlton,2019,VIC,13308,7,22,31.82
Collingwood,2019,VIC,12352,16,24,66.67
Essendon,2019,VIC,23178,12,23,52.17
Fremantle,2019,WA,55092,9,22,40.91
Geelong,2019,VIC,15872,17,25,68.0
Gold Coast,2019,QLD,29944,3,22,13.64
Greater Western Sydney,2019,NSW,26286,16,26,61.54
Hawthorn,2019,VIC,11860,11,22,50.0
Melbourne,2019,VIC,13630,5,22,22.73
North Melbourne,2019,VIC,17760,10,22,45.45
Port Adelaide,2019,SA,35488,11,22,50.0
Richmond,2019,VIC,14920,19,25,76.0
St Kilda,2019,VIC,14580,9,22,40.91
Sydney,2019,NSW,21170,8,22,36.36
West Coast,2019,WA,60050,16,24,66.67
Western Bulldogs,2019,VIC,17926,12,23,52.17
Adelaide,2020,SA,19188,3,17,17.65
Brisbane Lions,2020,QLD,9024,15,19,78.95
Carlton,2020,VIC,25496,7,17,41.18
Collingwood,2020,VIC,35502,10,19,52.63
Essendon,2020,VIC,16280,6,17,35.29
Fremantle,2020,WA,48532,7,17,41.18
Geelong,2020,VIC,29122,14,21,66.67
Gold Coast,2020,QLD,9164,5,17,29.41
Greater Western Sydney,2020,NSW,29058,8,17,47.06
Hawthorn,2020,VIC,24734,5,17,29.41
Melbourne,2020,VIC,20948,9,17,52.94
North Melbourne,2020,VIC,16288,3,17,17.65
Port Adelaide,2020,SA,25592,15,19,78.95
Richmond,2020,VIC,19766,15,21,71.43
St Kilda,2020,VIC,17202,11,19,57.89
Sydney,2020,NSW,19780,5,17,29.41
West Coast,2020,WA,50664,12,18,66.67
Western Bulldogs,2020,VIC,22246,10,18,55.56
Adelaide,2021,SA,21580,7,22,31.82
Brisbane Lions,2021,QLD,33420,15,24,62.5
Carlton,2021,VIC,6846,8,22,36.36
Collingwood,2021,VIC,12352,6,22,27.27
Essendon,2021,VIC,17074,11,23,47.83
Fremantle,2021,WA,56704,10,22,45.45
Geelong,2021,VIC,20698,17,25,68.0
Gold Coast,2021,QLD,37640,7,22,31.82
Greater Western Sydney,2021,NSW,29520,12,24,50.0
Hawthorn,2021,VIC,8296,7,22,31.82
Melbourne,2021,VIC,10320,20,25,80.0
North Melbourne,2021,VIC,15900,4,22,18.18
Port Adelaide,2021,SA,19816,18,24,75.0
Richmond,2021,VIC,20388,9,22,40.91
St Kilda,2021,VIC,15106,10,22,45.45
Sydney,2021,NSW,21658,15,23,65.22
West Coast,2021,WA,57106,10,22,45.45
Western Bulldogs,2021,VIC,26334,18,26,69.23
Adelaide,2022,SA,19700,8,22,36.36
