Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Western Bulldogs,Brisbane Lions,2010,VIC,Away,Gabba,Brisbane,April,2010-04-17 19:10,79,101,0,L
Richmond,Melbourne,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-18 13:10,78,133,0,L
Melbourne,Richmond,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-18 13:10,133,78,1,W
Geelong,Port Adelaide,2010,VIC,Home,Kardinia Park,Geelong,April,2010-04-18 14:10,159,64,1,W
Port Adelaide,Geelong,2010,SA,Away,Kardinia Park,Geelong,April,2010-04-18 14:10,64,159,0,L
St Kilda,Fremantle,2010,VIC,Home,Docklands,Melbourne,April,2010-04-18 16:40,108,93,1,W
Fremantle,St Kilda,2010,WA,Away,Docklands,Melbourne,April,2010-04-18 16:40,93,108,0,L
Western Bulldogs,Adelaide,2010,VIC,Home,Docklands,Melbourne,April,2010-04-23 19:40,121,72,1,W
Adelaide,Western Bulldogs,2010,SA,Away,Docklands,Melbourne,April,2010-04-23 19:40,72,121,0,L
Sydney,West Coast,2010,NSW,Home,S.C.G.,Sydney,April,2010-04-24 14:15,115,63,1,W
West Coast,Sydney,2010,WA,Away,S.C.G.,Sydney,April,2010-04-24 14:15,63,115,0,L
Melbourne,Brisbane Lions,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-24 19:10,103,53,1,W
Brisbane Lions,Melbourne,2010,QLD,Away,M.C.G.,Melbourne,April,2010-04-24 19:10,53,103,0,L
Port Adelaide,St Kilda,2010,SA,Home,Football Park,Adelaide,April,2010-04-24 19:15,54,44,1,W
St Kilda,Port Adelaide,2010,VIC,Away,Football Park,Adelaide,April,2010-04-24 19:15,44,54,0,L
Collingwood,Essendon,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-25 14:40,120,55,1,W
Essendon,Collingwood,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-25 14:40,55,120,0,L
Hawthorn,North Melbourne,2010,VIC,Home,York Park,Launceston,April,2010-04-25 17:40,70,82,0,L
North Melbourne,Hawthorn,2010,VIC,Away,York Park,Launceston,April,2010-04-25 17:40,82,70,1,W
Fremantle,Richmond,2010,WA,Home,Subiaco,Perth,April,2010-04-25 18:45,112,73,1,W
Richmond,Fremantle,2010,VIC,Away,Subiaco,Perth,April,2010-04-25 18:45,73,112,0,L
Carlton,Geelong,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-26 14:10,104,68,1,W
