Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
West Coast,Hawthorn,2012,WA,Away,M.C.G.,Melbourne,August,2012-08-31 19:50,70,95,0,L
Geelong,Sydney,2012,VIC,Home,Kardinia Park,Geelong,September,2012-09-01 13:45,112,78,1,W
Sydney,Geelong,2012,NSW,Away,Kardinia Park,Geelong,September,2012-09-01 13:45,78,112,0,L
Adelaide,Gold Coast,2012,SA,Home,Football Park,Adelaide,September,2012-09-01 13:40,153,62,1,W
Gold Coast,Adelaide,2012,QLD,Away,Football Park,Adelaide,September,2012-09-01 13:40,62,153,0,L
Greater Western Sydney,North Melbourne,2012,NSW,Home,Sydney Showground,Sydney,September,2012-09-01 16:40,77,105,0,L
North Melbourne,Greater Western Sydney,2012,VIC,Away,Sydney Showground,Sydney,September,2012-09-01 16:40,105,77,1,W
Fremantle,Melbourne,2012,WA,Home,Subiaco,Perth,September,2012-09-01 17:40,101,40,1,W
Melbourne,Fremantle,2012,VIC,Away,Subiaco,Perth,September,2012-09-01 17:40,40,101,0,L
Essendon,Collingwood,2012,VIC,Home,M.C.G.,Melbourne,September,2012-09-01 19:40,72,104,0,L
Collingwood,Essendon,2012,VIC,Away,M.C.G.,Melbourne,September,2012-09-01 19:40,104,72,1,W
Carlton,St Kilda,2012,VIC,Home,Docklands,Melbourne,September,2012-09-02 13:10,91,106,0,L
St Kilda,Carlton,2012,VIC,Away,Docklands,Melbourne,September,2012-09-02 13:10,106,91,1,W
Richmond,Port Adelaide,2012,VIC,Home,M.C.G.,Melbourne,September,2012-09-02 15:15,106,106,0,D
Port Adelaide,Richmond,2012,SA,Away,M.C.G.,Melbourne,September,2012-09-02 15:15,106,106,0,D
Brisbane Lions,Western Bulldogs,2012,QLD,Home,Gabba,Brisbane,September,2012-09-02 16:40,128,61,1,W
Western Bulldogs,Brisbane Lions,2012,VIC,Away,Gabba,Brisbane,September,2012-09-02 16:40,61,128,0,L
Hawthorn,Collingwood,2012,VIC,Home,M.C.G.,Melbourne,September,2012-09-07 19:50,135,97,1,W
Collingwood,Hawthorn,2012,VIC,Away,M.C.G.,Melbourne,September,2012-09-07 19:50,97,135,0,L
Adelaide,Sydney,2012,SA,Home,Football Park,Adelaide,September,2012-09-08 14:45,42,71,0,L
Sydney,Adelaide,2012,NSW,Away,Football Park,Adelaide,September,2012-09-08 14:45,71,42,1,W
Geelong,Fremantle,2012,VIC,Home,M.C.G.,Melbourne,September,2012-09-08 19:45,80,96,0,L
Fremantle,Geelong,2012,WA,Away,M.C.G.,Melbourne,September,2012-09-08 19:45,96,80,1,W
West Coast,North Melbourne,2012,WA,Home,Subiaco,Perth,September,2012-09-09 13:15,162,66,1,W
North Melbourne,West Coast,2012,VIC,Away,Subiaco,Perth,September,2012-09-09 13:15,66,162,0,L
Adelaide,Fremantle,2012,SA,Home,Football Park,Adelaide,September,2012-09-14 20:15,81,71,1,W
Fremantle,Adelaide,2012,WA,Away,Football Park,Adelaide,September,2012-09-14 20:15,71,81,0,L
Collingwood,West Coast,2012,VIC,Home,M.C.G.,Melbourne,September,2012-09-15 19:45,73,60,1,W
West Coast,Collingwood,2012,WA,Away,M.C.G.,Melbourne,September,2012-09-15 19:45,60,73,0,L
Sydney,Collingwood,2012,NSW,Home,Stadium Australia,Sydney,September,2012-09-21 19:50,96,70,1,W
Collingwood,Sydney,2012,VIC,Away,Stadium Australia,Sydney,September,2012-09-21 19:50,70,96,0,L
Hawthorn,Adelaide,2012,VIC,Home,M.C.G.,Melbourne,September,2012-09-22 17:15,97,92,1,W
Adelaide,Hawthorn,2012,SA,Away,M.C.G.,Melbourne,September,2012-09-22 17:15,92,97,0,L
Hawthorn,Sydney,2012,VIC,Home,M.C.G.,Melbourne,September,2012-09-29 14:30,81,91,0,L
Sydney,Hawthorn,2012,NSW,Away,M.C.G.,Melbourne,September,2012-09-29 14:30,91,81,1,W
Adelaide,Essendon,2013,SA,Home,Football Park,Adelaide,March,2013-03-22 20:10,82,117,0,L
Essendon,Adelaide,2013,VIC,Away,Football Park,Adelaide,March,2013-03-22 20:10,117,82,1,W
Fremantle,West Coast,2013,WA,Home,Subiaco,Perth,March,2013-03-23 16:40,108,80,1,W
West Coast,Fremantle,2013,WA,Away,Subiaco,Perth,March,2013-03-23 16:40,80,108,0,L
Carlton,Richmond,2013,VIC,Home,M.C.G.,Melbourne,March,2013-03-28 19:45,101,106,0,L
Richmond,Carlton,2013,VIC,Away,M.C.G.,Melbourne,March,2013-03-28 19:45,106,101,1,W
Western Bulldogs,Brisbane Lions,2013,VIC,Home,Docklands,Melbourne,March,2013-03-30 13:40,127,59,1,W
Brisbane Lions,Western Bulldogs,2013,QLD,Away,Docklands,Melbourne,March,2013-03-30 13:40,59,127,0,L
Greater Western Sydney,Sydney,2013,NSW,Home,Stadium Australia,Sydney,March,2013-03-30 16:40,76,106,0,L
Sydney,Greater Western Sydney,2013,NSW,Away,Stadium Australia,Sydney,March,2013-03-30 16:40,106,76,1,W
Gold Coast,St Kilda,2013,QLD,Home,Carrara,Gold Coast,March,2013-03-30 18:45,90,77,1,W
St Kilda,Gold Coast,2013,VIC,Away,Carrara,Gold Coast,March,2013-03-30 18:45,77,90,0,L
Melbourne,Port Adelaide,2013,VIC,Home,M.C.G.,Melbourne,March,2013-03-31 13:10,54,133,0,L
Port Adelaide,Melbourne,2013,SA,Away,M.C.G.,Melbourne,March,2013-03-31 13:10,133,54,1,W
North Melbourne,Collingwood,2013,VIC,Home,Docklands,Melbourne,March,2013-03-31 16:40,87,103,0,L
Collingwood,North Melbourne,2013,VIC,Away,Docklands,Melbourne,March,2013-03-31 16:40,103,87,1,W
Hawthorn,Geelong,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-01 15:20,86,93,0,L
Geelong,Hawthorn,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-01 15:20,93,86,1,W
St Kilda,Richmond,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-05 19:50,82,99,0,L
Richmond,St Kilda,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-05 19:50,99,82,1,W
Sydney,Gold Coast,2013,NSW,Home,S.C.G.,Sydney,April,2013-04-06 13:45,114,73,1,W
Gold Coast,Sydney,2013,QLD,Away,S.C.G.,Sydney,April,2013-04-06 13:45,73,114,0,L
Western Bulldogs,Fremantle,2013,VIC,Home,Docklands,Melbourne,April,2013-04-06 14:10,78,106,0,L
Fremantle,Western Bulldogs,2013,WA,Away,Docklands,Melbourne,April,2013-04-06 14:10,106,78,1,W
Brisbane Lions,Adelaide,2013,QLD,Home,Gabba,Brisbane,April,2013-04-06 15:40,77,96,0,L
Adelaide,Brisbane Lions,2013,SA,Away,Gabba,Brisbane,April,2013-04-06 15:40,96,77,1,W
Port Adelaide,Greater Western Sydney,2013,SA,Home,Football Park,Adelaide,April,2013-04-06 19:10,134,78,1,W
Greater Western Sydney,Port Adelaide,2013,NSW,Away,Football Park,Adelaide,April,2013-04-06 19:10,78,134,0,L
Essendon,Melbourne,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-06 19:40,184,36,1,W
Melbourne,Essendon,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-06 19:40,36,184,0,L
Geelong,North Melbourne,2013,VIC,Home,Docklands,Melbourne,April,2013-04-07 13:10,112,108,1,W
North Melbourne,Geelong,2013,VIC,Away,Docklands,Melbourne,April,2013-04-07 13:10,108,112,0,L
Collingwood,Carlton,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-07 15:20,117,100,1,W
Carlton,Collingwood,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-07 15:20,100,117,0,L
West Coast,Hawthorn,2013,WA,Home,Subiaco,Perth,April,2013-04-07 14:40,98,148,0,L
Hawthorn,West Coast,2013,VIC,Away,Subiaco,Perth,April,2013-04-07 14:40,148,98,1,W
Fremantle,Essendon,2013,WA,Home,Subiaco,Perth,April,2013-04-12 18:40,68,72,0,L
Essendon,Fremantle,2013,VIC,Away,Subiaco,Perth,April,2013-04-12 18:40,72,68,1,W
North Melbourne,Sydney,2013,VIC,Home,Bellerive Oval,Hobart,April,2013-04-13 13:45,92,131,0,L
Sydney,North Melbourne,2013,NSW,Away,Bellerive Oval,Hobart,April,2013-04-13 13:45,131,92,1,W
Melbourne,West Coast,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-13 14:10,83,177,0,L
West Coast,Melbourne,2013,WA,Away,M.C.G.,Melbourne,April,2013-04-13 14:10,177,83,1,W
Greater Western Sydney,St Kilda,2013,NSW,Home,Manuka Oval,Canberra,April,2013-04-13 16:40,68,140,0,L
St Kilda,Greater Western Sydney,2013,VIC,Away,Manuka Oval,Canberra,April,2013-04-13 16:40,140,68,1,W
Geelong,Carlton,2013,VIC,Home,Docklands,Melbourne,April,2013-04-13 19:40,119,103,1,W
Carlton,Geelong,2013,VIC,Away,Docklands,Melbourne,April,2013-04-13 19:40,103,119,0,L
Gold Coast,Brisbane Lions,2013,QLD,Home,Carrara,Gold Coast,April,2013-04-13 19:40,92,94,0,L
Brisbane Lions,Gold Coast,2013,QLD,Away,Carrara,Gold Coast,April,2013-04-13 19:40,94,92,1,W
Richmond,Western Bulldogs,2013,VIC,Home,Docklands,Melbourne,April,2013-04-14 13:10,135,68,1,W
Western Bulldogs,Richmond,2013,VIC,Away,Docklands,Melbourne,April,2013-04-14 13:10,68,135,0,L
Collingwood,Hawthorn,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-14 15:20,90,145,0,L
Hawthorn,Collingwood,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-14 15:20,145,90,1,W
Port Adelaide,Adelaide,2013,SA,Home,Football Park,Adelaide,April,2013-04-14 16:10,118,109,1,W
Adelaide,Port Adelaide,2013,SA,Away,Football Park,Adelaide,April,2013-04-14 16:10,109,118,0,L
Sydney,Geelong,2013,NSW,Home,S.C.G.,Sydney,April,2013-04-19 19:50,103,124,0,L
Geelong,Sydney,2013,VIC,Away,S.C.G.,Sydney,April,2013-04-19 19:50,124,103,1,W
Hawthorn,Fremantle,2013,VIC,Home,York Park,Launceston,April,2013-04-20 13:45,118,76,1,W
Fremantle,Hawthorn,2013,WA,Away,York Park,Launceston,April,2013-04-20 13:45,76,118,0,L
Richmond,Collingwood,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-20 14:10,79,113,0,L
Collingwood,Richmond,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-20 14:10,113,79,1,W
St Kilda,Essendon,2013,VIC,Home,Docklands,Melbourne,April,2013-04-20 16:40,91,128,0,L
Essendon,St Kilda,2013,VIC,Away,Docklands,Melbourne,April,2013-04-20 16:40,128,91,1,W
West Coast,Carlton,2013,WA,Home,Subiaco,Perth,April,2013-04-20 17:40,65,89,0,L
Carlton,West Coast,2013,VIC,Away,Subiaco,Perth,April,2013-04-20 17:40,89,65,1,W
Gold Coast,Port Adelaide,2013,QLD,Home,Carrara,Gold Coast,April,2013-04-20 19:40,66,104,0,L
Port Adelaide,Gold Coast,2013,SA,Away,Carrara,Gold Coast,April,2013-04-20 19:40,104,66,1,W
Melbourne,Greater Western Sydney,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-21 13:10,144,103,1,W
Greater Western Sydney,Melbourne,2013,NSW,Away,M.C.G.,Melbourne,April,2013-04-21 13:10,103,144,0,L
Adelaide,Western Bulldogs,2013,SA,Home,Football Park,Adelaide,April,2013-04-21 14:50,80,28,1,W
Western Bulldogs,Adelaide,2013,VIC,Away,Football Park,Adelaide,April,2013-04-21 14:50,28,80,0,L
North Melbourne,Brisbane Lions,2013,VIC,Home,Docklands,Melbourne,April,2013-04-21 16:40,125,62,1,W
Brisbane Lions,North Melbourne,2013,QLD,Away,Docklands,Melbourne,April,2013-04-21 16:40,62,125,0,L
Essendon,Collingwood,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-25 14:40,121,75,1,W
Collingwood,Essendon,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-25 14:40,75,121,0,L
St Kilda,Sydney,2013,VIC,Home,Wellington,Wellington,April,2013-04-25 19:50,63,79,0,L
Sydney,St Kilda,2013,NSW,Away,Wellington,Wellington,April,2013-04-25 19:50,79,63,1,W
Fremantle,Richmond,2013,WA,Home,Subiaco,Perth,April,2013-04-26 18:45,81,80,1,W
Richmond,Fremantle,2013,VIC,Away,Subiaco,Perth,April,2013-04-26 18:45,80,81,0,L
Greater Western Sydney,Gold Coast,2013,NSW,Home,Manuka Oval,Canberra,April,2013-04-27 13:45,104,148,0,L
Gold Coast,Greater Western Sydney,2013,QLD,Away,Manuka Oval,Canberra,April,2013-04-27 13:45,148,104,1,W
Carlton,Adelaide,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-27 16:40,115,83,1,W
Adelaide,Carlton,2013,SA,Away,M.C.G.,Melbourne,April,2013-04-27 16:40,83,115,0,L
Western Bulldogs,Geelong,2013,VIC,Home,Docklands,Melbourne,April,2013-04-27 19:40,86,107,0,L
Geelong,Western Bulldogs,2013,VIC,Away,Docklands,Melbourne,April,2013-04-27 19:40,107,86,1,W
Port Adelaide,West Coast,2013,SA,Home,Football Park,Adelaide,April,2013-04-27 19:15,84,79,1,W
West Coast,Port Adelaide,2013,WA,Away,Football Park,Adelaide,April,2013-04-27 19:15,79,84,0,L
Brisbane Lions,Melbourne,2013,QLD,Home,Gabba,Brisbane,April,2013-04-28 15:20,122,94,1,W
Melbourne,Brisbane Lions,2013,VIC,Away,Gabba,Brisbane,April,2013-04-28 15:20,94,122,0,L
Hawthorn,North Melbourne,2013,VIC,Home,M.C.G.,Melbourne,April,2013-04-28 16:40,99,96,1,W
North Melbourne,Hawthorn,2013,VIC,Away,M.C.G.,Melbourne,April,2013-04-28 16:40,96,99,0,L
Collingwood,St Kilda,2013,VIC,Home,Docklands,Melbourne,May,2013-05-03 19:50,103,77,1,W
St Kilda,Collingwood,2013,VIC,Away,Docklands,Melbourne,May,2013-05-03 19:50,77,103,0,L
Essendon,Greater Western Sydney,2013,VIC,Home,Docklands,Melbourne,May,2013-05-04 13:45,120,81,1,W
Greater Western Sydney,Essendon,2013,NSW,Away,Docklands,Melbourne,May,2013-05-04 13:45,81,120,0,L
North Melbourne,Port Adelaide,2013,VIC,Home,Bellerive Oval,Hobart,May,2013-05-04 14:10,93,83,1,W
Port Adelaide,North Melbourne,2013,SA,Away,Bellerive Oval,Hobart,May,2013-05-04 14:10,83,93,0,L
Adelaide,Hawthorn,2013,SA,Home,Football Park,Adelaide,May,2013-05-04 16:10,78,89,0,L
Hawthorn,Adelaide,2013,VIC,Away,Football Park,Adelaide,May,2013-05-04 16:10,89,78,1,W
Gold Coast,Fremantle,2013,QLD,Home,Carrara,Gold Coast,May,2013-05-04 19:40,54,99,0,L
Fremantle,Gold Coast,2013,WA,Away,Carrara,Gold Coast,May,2013-05-04 19:40,99,54,1,W
Richmond,Geelong,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-04 19:40,87,131,0,L
Geelong,Richmond,2013,VIC,Away,M.C.G.,Melbourne,May,2013-05-04 19:40,131,87,1,W
Sydney,Brisbane Lions,2013,NSW,Home,S.C.G.,Sydney,May,2013-05-05 13:10,115,55,1,W
Brisbane Lions,Sydney,2013,QLD,Away,S.C.G.,Sydney,May,2013-05-05 13:10,55,115,0,L
Carlton,Melbourne,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-05 15:20,121,60,1,W
Melbourne,Carlton,2013,VIC,Away,M.C.G.,Melbourne,May,2013-05-05 15:20,60,121,0,L
West Coast,Western Bulldogs,2013,WA,Home,Subiaco,Perth,May,2013-05-05 14:40,137,67,1,W
Western Bulldogs,West Coast,2013,VIC,Away,Subiaco,Perth,May,2013-05-05 14:40,67,137,0,L
Geelong,Essendon,2013,VIC,Home,Docklands,Melbourne,May,2013-05-10 19:50,113,85,1,W
Essendon,Geelong,2013,VIC,Away,Docklands,Melbourne,May,2013-05-10 19:50,85,113,0,L
Port Adelaide,Richmond,2013,SA,Home,Football Park,Adelaide,May,2013-05-11 13:15,73,114,0,L
Richmond,Port Adelaide,2013,VIC,Away,Football Park,Adelaide,May,2013-05-11 13:15,114,73,1,W
Brisbane Lions,West Coast,2013,QLD,Home,Gabba,Brisbane,May,2013-05-11 14:10,82,108,0,L
West Coast,Brisbane Lions,2013,WA,Away,Gabba,Brisbane,May,2013-05-11 14:10,108,82,1,W
Western Bulldogs,North Melbourne,2013,VIC,Home,Docklands,Melbourne,May,2013-05-11 16:40,97,151,0,L
North Melbourne,Western Bulldogs,2013,VIC,Away,Docklands,Melbourne,May,2013-05-11 16:40,151,97,1,W
Fremantle,Collingwood,2013,WA,Home,Subiaco,Perth,May,2013-05-11 17:40,100,73,1,W
Collingwood,Fremantle,2013,VIC,Away,Subiaco,Perth,May,2013-05-11 17:40,73,100,0,L
Hawthorn,Sydney,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-11 19:40,119,82,1,W
Sydney,Hawthorn,2013,NSW,Away,M.C.G.,Melbourne,May,2013-05-11 19:40,82,119,0,L
Greater Western Sydney,Adelaide,2013,NSW,Home,Sydney Showground,Sydney,May,2013-05-12 13:10,52,187,0,L
Adelaide,Greater Western Sydney,2013,SA,Away,Sydney Showground,Sydney,May,2013-05-12 13:10,187,52,1,W
Melbourne,Gold Coast,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-12 16:40,54,114,0,L
Gold Coast,Melbourne,2013,QLD,Away,M.C.G.,Melbourne,May,2013-05-12 16:40,114,54,1,W
St Kilda,Carlton,2013,VIC,Home,Docklands,Melbourne,May,2013-05-13 19:40,77,68,1,W
Carlton,St Kilda,2013,VIC,Away,Docklands,Melbourne,May,2013-05-13 19:40,68,77,0,L
West Coast,North Melbourne,2013,WA,Home,Subiaco,Perth,May,2013-05-17 18:40,90,88,1,W
North Melbourne,West Coast,2013,VIC,Away,Subiaco,Perth,May,2013-05-17 18:40,88,90,0,L
Essendon,Brisbane Lions,2013,VIC,Home,Docklands,Melbourne,May,2013-05-18 13:45,86,96,0,L
Brisbane Lions,Essendon,2013,QLD,Away,Docklands,Melbourne,May,2013-05-18 13:45,96,86,1,W
Hawthorn,Greater Western Sydney,2013,VIC,Home,York Park,Launceston,May,2013-05-18 14:10,140,57,1,W
Greater Western Sydney,Hawthorn,2013,NSW,Away,York Park,Launceston,May,2013-05-18 14:10,57,140,0,L
Gold Coast,Western Bulldogs,2013,QLD,Home,Carrara,Gold Coast,May,2013-05-18 16:40,93,61,1,W
Western Bulldogs,Gold Coast,2013,VIC,Away,Carrara,Gold Coast,May,2013-05-18 16:40,61,93,0,L
Collingwood,Geelong,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-18 19:40,102,96,1,W
Geelong,Collingwood,2013,VIC,Away,M.C.G.,Melbourne,May,2013-05-18 19:40,96,102,0,L
Sydney,Fremantle,2013,NSW,Home,S.C.G.,Sydney,May,2013-05-18 19:40,70,70,0,D
Fremantle,Sydney,2013,WA,Away,S.C.G.,Sydney,May,2013-05-18 19:40,70,70,0,D
Carlton,Port Adelaide,2013,VIC,Home,Docklands,Melbourne,May,2013-05-19 13:10,109,91,1,W
Port Adelaide,Carlton,2013,SA,Away,Docklands,Melbourne,May,2013-05-19 13:10,91,109,0,L
Richmond,Melbourne,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-19 15:20,106,72,1,W
Melbourne,Richmond,2013,VIC,Away,M.C.G.,Melbourne,May,2013-05-19 15:20,72,106,0,L
Adelaide,St Kilda,2013,SA,Home,Football Park,Adelaide,May,2013-05-19 16:10,87,47,1,W
St Kilda,Adelaide,2013,VIC,Away,Football Park,Adelaide,May,2013-05-19 16:10,47,87,0,L
Collingwood,Sydney,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-24 19:50,55,102,0,L
Sydney,Collingwood,2013,NSW,Away,M.C.G.,Melbourne,May,2013-05-24 19:50,102,55,1,W
Port Adelaide,Geelong,2013,SA,Home,Football Park,Adelaide,May,2013-05-25 13:15,68,116,0,L
Geelong,Port Adelaide,2013,VIC,Away,Football Park,Adelaide,May,2013-05-25 13:15,116,68,1,W
Greater Western Sydney,West Coast,2013,NSW,Home,Sydney Showground,Sydney,May,2013-05-25 14:10,55,155,0,L
West Coast,Greater Western Sydney,2013,WA,Away,Sydney Showground,Sydney,May,2013-05-25 14:10,155,55,1,W
St Kilda,Western Bulldogs,2013,VIC,Home,Docklands,Melbourne,May,2013-05-25 16:40,101,110,0,L
Western Bulldogs,St Kilda,2013,VIC,Away,Docklands,Melbourne,May,2013-05-25 16:40,110,101,1,W
Brisbane Lions,Carlton,2013,QLD,Home,Gabba,Brisbane,May,2013-05-25 19:40,85,98,0,L
Carlton,Brisbane Lions,2013,VIC,Away,Gabba,Brisbane,May,2013-05-25 19:40,98,85,1,W
Richmond,Essendon,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-25 19:45,62,91,0,L
Essendon,Richmond,2013,VIC,Away,M.C.G.,Melbourne,May,2013-05-25 19:45,91,62,1,W
Hawthorn,Gold Coast,2013,VIC,Home,M.C.G.,Melbourne,May,2013-05-26 13:10,118,92,1,W
Gold Coast,Hawthorn,2013,QLD,Away,M.C.G.,Melbourne,May,2013-05-26 13:10,92,118,0,L
North Melbourne,Adelaide,2013,VIC,Home,Docklands,Melbourne,May,2013-05-26 15:20,124,125,0,L
Adelaide,North Melbourne,2013,SA,Away,Docklands,Melbourne,May,2013-05-26 15:20,125,124,1,W
Fremantle,Melbourne,2013,WA,Home,Subiaco,Perth,May,2013-05-26 14:40,130,40,1,W
Melbourne,Fremantle,2013,VIC,Away,Subiaco,Perth,May,2013-05-26 14:40,40,130,0,L
Brisbane Lions,Collingwood,2013,QLD,Home,Gabba,Brisbane,May,2013-05-31 19:50,51,100,0,L
Collingwood,Brisbane Lions,2013,VIC,Away,Gabba,Brisbane,May,2013-05-31 19:50,100,51,1,W
Carlton,Greater Western Sydney,2013,VIC,Home,Docklands,Melbourne,June,2013-06-01 13:45,148,54,1,W
Greater Western Sydney,Carlton,2013,NSW,Away,Docklands,Melbourne,June,2013-06-01 13:45,54,148,0,L
Adelaide,Fremantle,2013,SA,Home,Football Park,Adelaide,June,2013-06-01 13:40,59,66,0,L
Fremantle,Adelaide,2013,WA,Away,Football Park,Adelaide,June,2013-06-01 13:40,66,59,1,W
Sydney,Essendon,2013,NSW,Home,S.C.G.,Sydney,June,2013-06-01 16:40,115,71,1,W
Essendon,Sydney,2013,VIC,Away,S.C.G.,Sydney,June,2013-06-01 16:40,71,115,0,L
Western Bulldogs,Port Adelaide,2013,VIC,Home,Marrara Oval,Darwin,June,2013-06-01 19:10,67,58,1,W
Port Adelaide,Western Bulldogs,2013,SA,Away,Marrara Oval,Darwin,June,2013-06-01 19:10,58,67,0,L
Geelong,Gold Coast,2013,VIC,Home,Kardinia Park,Geelong,June,2013-06-01 19:40,123,71,1,W
Gold Coast,Geelong,2013,QLD,Away,Kardinia Park,Geelong,June,2013-06-01 19:40,71,123,0,L
Melbourne,Hawthorn,2013,VIC,Home,M.C.G.,Melbourne,June,2013-06-02 15:20,48,143,0,L
Hawthorn,Melbourne,2013,VIC,Away,M.C.G.,Melbourne,June,2013-06-02 15:20,143,48,1,W
North Melbourne,St Kilda,2013,VIC,Home,Docklands,Melbourne,June,2013-06-02 16:40,133,65,1,W
St Kilda,North Melbourne,2013,VIC,Away,Docklands,Melbourne,June,2013-06-02 16:40,65,133,0,L
West Coast,Richmond,2013,WA,Home,Subiaco,Perth,June,2013-06-03 17:40,62,103,0,L
Richmond,West Coast,2013,VIC,Away,Subiaco,Perth,June,2013-06-03 17:40,103,62,1,W
Essendon,Carlton,2013,VIC,Home,M.C.G.,Melbourne,June,2013-06-07 19:50,77,72,1,W
Carlton,Essendon,2013,VIC,Away,M.C.G.,Melbourne,June,2013-06-07 19:50,72,77,0,L
Greater Western Sydney,Geelong,2013,NSW,Home,Sydney Showground,Sydney,June,2013-06-08 13:40,98,157,0,L
Geelong,Greater Western Sydney,2013,VIC,Away,Sydney Showground,Sydney,June,2013-06-08 13:40,157,98,1,W
Adelaide,Sydney,2013,SA,Home,Football Park,Adelaide,June,2013-06-08 16:10,50,127,0,L
Sydney,Adelaide,2013,NSW,Away,Football Park,Adelaide,June,2013-06-08 16:10,127,50,1,W
Gold Coast,North Melbourne,2013,QLD,Home,Carrara,Gold Coast,June,2013-06-08 19:40,66,51,1,W
North Melbourne,Gold Coast,2013,VIC,Away,Carrara,Gold Coast,June,2013-06-08 19:40,51,66,0,L
St Kilda,West Coast,2013,VIC,Home,Docklands,Melbourne,June,2013-06-09 16:40,80,84,0,L
West Coast,St Kilda,2013,WA,Away,Docklands,Melbourne,June,2013-06-09 16:40,84,80,1,W
Melbourne,Collingwood,2013,VIC,Home,M.C.G.,Melbourne,June,2013-06-10 15:20,39,122,0,L
Collingwood,Melbourne,2013,VIC,Away,M.C.G.,Melbourne,June,2013-06-10 15:20,122,39,1,W
Carlton,Hawthorn,2013,VIC,Home,Docklands,Melbourne,June,2013-06-14 19:50,87,102,0,L
Hawthorn,Carlton,2013,VIC,Away,Docklands,Melbourne,June,2013-06-14 19:50,102,87,1,W
Richmond,Adelaide,2013,VIC,Home,M.C.G.,Melbourne,June,2013-06-15 13:40,110,72,1,W
Adelaide,Richmond,2013,SA,Away,M.C.G.,Melbourne,June,2013-06-15 13:40,72,110,0,L
Fremantle,Brisbane Lions,2013,WA,Home,Subiaco,Perth,June,2013-06-15 14:40,86,46,1,W
Brisbane Lions,Fremantle,2013,QLD,Away,Subiaco,Perth,June,2013-06-15 14:40,46,86,0,L
Essendon,Gold Coast,2013,VIC,Home,Docklands,Melbourne,June,2013-06-15 19:40,115,72,1,W
Gold Coast,Essendon,2013,QLD,Away,Docklands,Melbourne,June,2013-06-15 19:40,72,115,0,L
Greater Western Sydney,Port Adelaide,2013,NSW,Home,Sydney Showground,Sydney,June,2013-06-16 13:10,50,125,0,L
Port Adelaide,Greater Western Sydney,2013,SA,Away,Sydney Showground,Sydney,June,2013-06-16 13:10,125,50,1,W
Collingwood,Western Bulldogs,2013,VIC,Home,Docklands,Melbourne,June,2013-06-16 16:40,99,65,1,W
Western Bulldogs,Collingwood,2013,VIC,Away,Docklands,Melbourne,June,2013-06-16 16:40,65,99,0,L
Hawthorn,West Coast,2013,VIC,Home,Docklands,Melbourne,June,2013-06-21 19:50,123,103,1,W
West Coast,Hawthorn,2013,WA,Away,Docklands,Melbourne,June,2013-06-21 19:50,103,123,0,L
Port Adelaide,Sydney,2013,SA,Home,Football Park,Adelaide,June,2013-06-22 13:10,72,54,1,W
Sydney,Port Adelaide,2013,NSW,Away,Football Park,Adelaide,June,2013-06-22 13:10,54,72,0,L
St Kilda,Melbourne,2013,VIC,Home,M.C.G.,Melbourne,June,2013-06-22 16:40,104,69,1,W
Melbourne,St Kilda,2013,VIC,Away,M.C.G.,Melbourne,June,2013-06-22 16:40,69,104,0,L
Western Bulldogs,Richmond,2013,VIC,Home,Docklands,Melbourne,June,2013-06-22 19:40,61,121,0,L
Richmond,Western Bulldogs,2013,VIC,Away,Docklands,Melbourne,June,2013-06-22 19:40,121,61,1,W
Fremantle,North Melbourne,2013,WA,Home,Subiaco,Perth,June,2013-06-23 13:20,67,29,1,W
North Melbourne,Fremantle,2013,VIC,Away,Subiaco,Perth,June,2013-06-23 13:20,29,67,0,L
Brisbane Lions,Geelong,2013,QLD,Home,Gabba,Brisbane,June,2013-06-23 16:40,103,98,1,W
Geelong,Brisbane Lions,2013,VIC,Away,Gabba,Brisbane,June,2013-06-23 16:40,98,103,0,L
